#,mac,name,ipaddress
65;cc:c3:ea:3b:e3:cd;None;172.16.59.2
66;68:5b:35:8b:b4:9a;None;192.168.40.178
67;28:e3:47:dd:ef:b7;None;172.16.57.129
68;00:12:36:22:65:2c;None;172.16.49.173
69;00:24:97:aa:8b:40;None;10.200.1.82
70;d0:87:e2:e5:f2:23;None;172.16.56.253
71;94:d8:59:a2:bd:c3;None;172.16.49.119
72;34:e2:fd:41:09:11;None;172.16.50.227
73;b0:47:bf:3e:8f:08;None;172.16.58.49
74;20:6e:9c:de:ea:13;None;172.16.53.228
75;ac:e0:10:4e:16:8e;None;172.16.52.2
76;00:14:85:ac:41:f7;None;172.16.21.113
77;a0:b3:cc:fc:1d:06;None;192.168.40.87
78;e4:40:e2:79:d1:cf;None;172.16.57.218
79;00:24:97:ab:8b:32;None;10.200.1.137
80;00:24:97:ab:8b:31;None;10.200.6.230
81;f4:ce:46:33:bc:47;None;192.168.30.243
82;00:1f:d0:3c:d0:20;None;192.168.101.148
83;34:23:ba:8b:7d:6c;None;172.16.57.147
84;00:24:c4:0b:2f:96;None;10.200.1.146
85;00:14:85:ac:41:fc;None;192.168.80.191
86;98:e0:d9:83:b4:63;None;172.16.58.207
87;e0:69:95:33:6f:54;None;192.168.50.125
88;ac:e0:10:4e:2d:25;None;172.16.58.237
89;f8:0f:41:ba:50:b8;None;172.16.20.118
90;f8:0c:f3:b7:4e:46;None;172.16.55.78
91;f8:0f:41:ba:50:b1;None;172.16.19.215
92;00:56:cd:1d:cd:15;None;172.16.59.248
93;ec:35:86:09:d6:7b;None;172.16.50.82
94;08:00:27:8c:2d:e0;None;192.168.20.15
95;b8:e8:56:03:46:b8;None;172.16.49.121
96;0c:14:20:95:a7:63;None;172.16.50.229
97;80:65:6d:20:90:47;None;172.16.49.253
98;08:d4:2b:4f:3e:a1;None;172.16.52.235
99;00:24:c4:0b:2a:82;None;10.200.1.190
100;0c:77:1a:31:cc:5e;None;172.16.55.87
101;f0:99:bf:55:e0:66;None;172.16.52.41
102;44:74:6c:4a:36:f3;None;172.16.49.102
103;bc:4c:c4:42:ac:76;None;172.16.59.133
104;54:26:96:c7:ea:4e;None;172.16.51.165
105;ac:87:a3:25:00:95;None;192.168.36.100
106;04:da:d2:98:3c:c0;None;192.168.13.224
107;70:56:81:49:4b:6e;None;172.16.61.234
108;a8:9d:21:80:44:c4;None;172.16.48.124
109;80:ea:96:93:3f:ad;None;172.16.51.162
110;00:20:4a:72:14:4f;None;192.168.1.205
111;00:20:4a:72:14:4b;None;192.168.1.202
112;e0:2a:82:13:23:a0;None;172.16.51.227
113;28:ed:6a:aa:94:ba;None;172.16.52.49
114;ac:cf:85:59:aa:1c;None;172.16.51.215
115;18:a9:05:28:ac:cc;None;192.168.80.180
116;18:a9:05:28:ac:cd;None;192.168.30.66
117;68:76:4f:9d:fc:69;None;172.16.49.244
118;fc:19:10:22:81:e7;None;172.16.51.193
119;f0:24:75:1b:00:dd;None;172.16.62.6
120;8c:bf:a6:d5:c4:7c;None;172.16.59.33
121;18:3a:2d:81:ef:7f;None;172.16.56.188
122;08:cc:68:ec:5c:c0;None;192.168.13.73
123;5c:8d:4e:06:e6:c7;None;172.16.57.80
124;00:21:55:03:a9:ba;None;10.200.1.16
125;5c:51:88:56:a4:fc;None;172.16.55.186
